EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
,0104 10 10 00,Žive ovce i koze >>> ovce >>> čistokrvne životinje za priplod,kd,0,0,0,0,0,0,0,0
,,Žive ovce i koze >>> ovce >>> ostale,,,,,,,,,
,0104 10 30 00,Žive ovce i koze >>> ovce >>> ostale >>> janjad,kd,"10+0,5KM/kg","10+0,5KM/kg(¹)",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0104 10 80 00,Žive ovce i koze >>> ovce >>> ostale >>> ostale,kd,"10+0,5KM/kg",0,0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0104 20,Žive ovce i koze >>> koze,,,,,,,,,
,0104 20 10 00,Žive ovce i koze >>> koze >>> čistokrvne životinje za priplod,kd,0,0,0,0,0,0,0,0
,0104 20 90 00,Žive ovce i koze >>> koze >>> ostale,kd,10,0,0,10,0,10,10,10
,0105,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke",,,,,,,,,
,,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g",,,,,,,,,
,0105 11,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus",,,,,,,,,
,,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> djedovski i roditeljski ženski pilići",,,,,,,,,
,0105 11 11 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> djedovski i roditeljski ženski pilići >>> za nosilice",kd,"0+0,2KM/kd","0+0,2KM/kd",0,"0+0,2KM/kd",0,"0+0,2KM/kd","0+0,2KM/kd","0+0,2KM/kd"
,0105 11 19 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> djedovski i roditeljski ženski pilići >>> ostali",kd,"0+0,2KM/kd","0+0,2KM/kd",0,"0+0,2KM/kd",0,"0+0,2KM/kd","0+0,2KM/kd","0+0,2KM/kd"
,,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> ostale",,,,,,,,,
,0105 11 91 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> ostale >>> nosilice",kd,"10+0,2KM/kd","10+0,2KM/kd",0,"10+0,2KM/kd",0,"10+0,2KM/kd","10+0,2KM/kd","10+0,2KM/kd"
,0105 11 99 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> kokoški vrste Gallus domesticus >>> ostale >>> ostale",kd,"10+0,2KM/kd","10+0,2KM/kd",0,"10+0,2KM/kd",0,"10+0,2KM/kd","10+0,2KM/kd","10+0,2KM/kd"
,0105 12 00 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> ćurke",kd,10,0,0,10,0,10,10,10
ex,0105 12 00 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> ćurke >>> za priplod",kd,0,0,0,0,0,0,0,0
,0105 13 00 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> patke",kd,10,0,0,10,0,10,10,10
ex,0105 13 00 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> patke >>> za priplod",kd,0,0,0,0,0,0,0,0
